column,non_null_count,null_count,null_pct,nunique,is_binary_like,count,mean,std,min,p01,p05,p25,p50,median,p75,p95,p99,max,iqr,lower_bound_iqr,upper_bound_iqr,outlier_count_iqr,outlier_pct_iqr,zero_count,zero_pct
flag_evidencia_temporal_suficiente,429541,0,0.0,2,True,429541,0.1695717056113386,0.3752565390500621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,72838,16.9572,356703,83.0428
flag_evidencia_trazabilidad_suficiente,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_fechas_temporales_disponibles,429541,0,0.0,2,True,429541,0.1695717056113386,0.3752565390500621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,72838,16.9572,356703,83.0428
flag_hubo_competencia_minima,429541,0,0.0,2,True,429541,0.07745244342216459,0.2673083028623151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33269,7.7452,396272,92.2548
flag_hubo_participacion,429541,0,0.0,2,True,429541,0.14916620299342787,0.3562526383715654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64073,14.9166,365468,85.0834
flag_id_proceso_valido,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_portafolio_disponible,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_publicacion_antes_recepcion,429541,0,0.0,2,True,429541,0.21926428443384915,0.41374854264670263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,94183,21.9264,335358,78.0736
flag_recepcion_antes_apertura,429541,0,0.0,2,True,429541,0.1695717056113386,0.3752565390500621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,72838,16.9572,356703,83.0428
flag_referencia_valida,429541,0,0.0,2,True,429541,0.9967267385418388,0.05711877811221228,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1406,0.3273,1406,0.3273
flag_tiene_categoria,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_tiene_precio_base,429541,0,0.0,2,True,429541,0.9547517000705404,0.20784848293344338,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,19436,4.5248,19436,4.5248
flag_tiene_tipo_modalidad,429541,0,0.0,2,True,429541,0.9986427372474339,0.03681607999099285,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,583,0.1357,583,0.1357
flag_tiene_ubicacion_entidad,429541,0,0.0,2,True,429541,0.7889025727462571,0.40808784736469733,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90675,21.1097,90675,21.1097
flag_tiene_url_publica,429541,0,0.0,2,True,429541,0.9999208457399875,0.008896526225318242,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,34,0.0079,34,0.0079
flag_ventana_apertura_razonable,429541,0,0.0,2,True,429541,0.16820280252641773,0.3740467156260802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,72250,16.8203,357291,83.1797
flag_ventana_recepcion_razonable,429541,0,0.0,2,True,429541,0.2191315846450048,0.4136584721955831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,94126,21.9132,335415,78.0868
penalizacion_duplicado,429541,0,0.0,2,True,429541,0.007424203975871919,0.08584347573902523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3189,0.7424,426352,99.2576
riesgo_baja_transparencia,429541,0,0.0,2,True,429541,0.7932071676510508,0.40500609712774593,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,88826,20.6793,88826,20.6793
