category,count,relative_pct
Turbaná,6,0.0013
Susa,6,0.0013
Iza,6,0.0013
Covarachía,6,0.0013
Luruaco,6,0.0013
Curillo,6,0.0013
Santana,6,0.0013
Sáchica,6,0.0013
Saladoblanco,6,0.0013
La Salina,6,0.0013
Tocaima,5,0.0011
Coper,5,0.0011
Motavita,5,0.0011
El Carmen De Bolívar,5,0.0011
Hatonuevo,5,0.0011
Aratoca,5,0.0011
Tuta,5,0.0011
Buenavista,5,0.0011
Cucaita,5,0.0011
Marmato,5,0.0011
Cabrera,5,0.0011
Cerinza,5,0.0011
Susacón,5,0.0011
Paya,5,0.0011
Chita,5,0.0011
Moniquirá,5,0.0011
Sora,5,0.0011
Villapinzón,5,0.0011
Sitionuevo,4,0.0009
Manzanares,4,0.0009
Ramiriquí,4,0.0009
El Paso,4,0.0009
Piendamó,4,0.0009
Chitaraque,4,0.0009
Tutazá,4,0.0009
Albania,4,0.0009
San Juan Nepomuceno,4,0.0009
Tausa,4,0.0009
San Pedro,4,0.0009
Guamal,4,0.0009
Tinjacá,4,0.0009
Cuítiva,4,0.0009
San Mateo,4,0.0009
Tasco,4,0.0009
Corrales,4,0.0009
Siachoque,4,0.0009
Líbano,4,0.0009
Briceño,4,0.0009
Providencia,4,0.0009
La Playa,4,0.0009
Puerto Guzmán,4,0.0009
Arroyohondo,3,0.0007
San Jacinto,3,0.0007
María La Baja,3,0.0007
Garagoa,3,0.0007
Nobsa,3,0.0007
Cómbita,3,0.0007
Murindó,3,0.0007
Clemencia,3,0.0007
Nuevo Colón,3,0.0007
Betéitiva,3,0.0007
Orito,3,0.0007
Villagarzón,3,0.0007
Saldaña,3,0.0007
Tibú,3,0.0007
Berbeo,3,0.0007
San Pablo De Borbur,3,0.0007
Ciénega,3,0.0007
Pauna,3,0.0007
Salamina,3,0.0007
Maripí,3,0.0007
Pachavita,3,0.0007
Buenos Aires,3,0.0007
Pisba,3,0.0007
Venadillo,3,0.0007
Palermo,3,0.0007
Victoria,3,0.0007
Belén De Los Andaquies,3,0.0007
Floresta,3,0.0007
Valdivia,3,0.0007
Tota,3,0.0007
Necoclí,3,0.0007
Oporapa,2,0.0004
San Vicente De Chucurí,2,0.0004
Güepsa,2,0.0004
Pijao,2,0.0004
San Miguel De Sema,2,0.0004
Guamo,2,0.0004
Timbío,2,0.0004
Guatavita,2,0.0004
La Florida,2,0.0004
Zona Bananera,2,0.0004
Paz De Río,2,0.0004
Riosucio,2,0.0004
Boavita,2,0.0004
Contadero,2,0.0004
Rondón,2,0.0004
El Cocuy,2,0.0004
Cabuyaro,2,0.0004
Cantagallo,2,0.0004
Muzo,2,0.0004
Valparaíso,2,0.0004
Barbacoas,2,0.0004
Tibirita,2,0.0004
Chinácota,2,0.0004
Morelia,2,0.0004
Sutatenza,2,0.0004
Gachancipá,2,0.0004
Tena,2,0.0004
San Martín,2,0.0004
Gambita,2,0.0004
Patía,2,0.0004
Acevedo,2,0.0004
Firavitoba,2,0.0004
Mogotes,2,0.0004
Sucre,2,0.0004
Arjona,1,0.0002
Colón,1,0.0002
Pueblorrico,1,0.0002
Puerto Salgar,1,0.0002
Santa Bárbara,1,0.0002
Sesquilé,1,0.0002
El Doncello,1,0.0002
Quípama,1,0.0002
Sativasur,1,0.0002
San José,1,0.0002
Sutamarchán,1,0.0002
Polonuevo,1,0.0002
San José Del Fragua,1,0.0002
Anorí,1,0.0002
Sácama,1,0.0002
Simijaca,1,0.0002
Manaure,1,0.0002
Ambalema,1,0.0002
Plato,1,0.0002
Filandia,1,0.0002
Subachoque,1,0.0002
Viotá,1,0.0002
Gualmatán,1,0.0002
Arbeláez,1,0.0002
Elías,1,0.0002
Suárez,1,0.0002
Guayabal De Siquima,1,0.0002
Soatá,1,0.0002
Aguada,1,0.0002
Nátaga,1,0.0002
El Dorado,1,0.0002
Simacota,1,0.0002
Guadalupe,1,0.0002
Gama,1,0.0002
Vetas,1,0.0002
Rosas,1,0.0002
Río De Oro,1,0.0002
Manta,1,0.0002
El Carmen,1,0.0002
