column,semantic_group,dtype,non_null_count,non_null_pct,null_pct,nunique,is_binary_like,eligible_mean_ci,eligible_proportion_ci,eligible_group_outcome,eligible_group_var,eligible_categorical_association,eligible_numeric_association,eligible_linear_predictor,model_excluded,skip_reason
id_del_portafolio,technical,string,429541,100.0,0.0,409266,False,False,False,False,False,False,False,False,False,technical_or_text_column
id_del_proceso,technical,string,429541,100.0,0.0,429541,False,False,False,False,False,False,False,False,False,technical_or_text_column
longitud_descripcion,text,Int64,429541,100.0,0.0,514,False,False,False,False,False,False,False,False,False,eligible
missing_temporal_count,numeric,int64,429541,100.0,0.0,4,False,False,False,False,False,False,False,False,False,low_numeric_variability
nit_entidad,categorical,string,429541,100.0,0.0,1627,False,False,False,False,False,False,False,False,False,eligible
nivel_riesgo_transparencia,categorical,string,429541,100.0,0.0,3,False,False,True,False,False,True,False,False,True,excluded_from_modeling
nombre_de_la_unidad_de,categorical,string,429541,100.0,0.0,3454,False,False,False,False,False,False,False,False,False,eligible
nombre_del_procedimiento,text,string,429540,99.9998,0.0002,251183,False,False,False,False,False,False,False,False,False,technical_or_text_column
penalizacion_duplicado,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
precio_base_es_cero,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
ratio_proveedores_vs_invitados,numeric,float64,28220,6.5698,93.4302,3633,False,False,False,False,False,False,False,False,False,low_completeness
referencia_del_proceso,technical,string,429540,99.9998,0.0002,390886,False,False,False,False,False,False,False,False,False,technical_or_text_column
riesgo_baja_transparencia,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,True,False,False,True,excluded_from_modeling
score_trazabilidad,numeric,float64,429541,100.0,0.0,4,False,False,False,False,False,False,False,False,True,low_numeric_variability | excluded_from_modeling
score_trazabilidad_base,numeric,float64,429541,100.0,0.0,2,False,False,False,False,False,False,False,False,True,low_numeric_variability | excluded_from_modeling
tiene_categorias_adicionales,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
tiene_descripcion,text,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
tiene_fecha_apertura_efectiva,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
tiene_fecha_apertura_respuesta,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
tiene_fecha_recepcion,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
tiene_urlproceso,boolean,bool,429541,100.0,0.0,1,True,False,True,False,False,False,False,False,False,single_level
unidad_de_duracion,categorical,string,429541,100.0,0.0,6,False,False,True,False,False,False,False,False,False,eligible
unidad_de_duracion_desconocida,boolean,bool[pyarrow],429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
urlproceso,technical,string,429541,100.0,0.0,429493,False,False,False,False,False,False,False,False,False,technical_or_text_column
