left_column,right_column,n_used,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,large_sample_warning,status,skip_reason
total_respuestas,respuestas_al_procedimiento,429541,0.9954955321066933,0.0,0.9998851197705867,0.0,True,ok,
total_respuestas,score_competencia,429541,0.4700764379778421,0.0,0.9867287318550721,0.0,True,ok,
total_respuestas,score_temporal,429541,0.3111442232351788,0.0,0.7666226117185817,0.0,True,ok,
total_respuestas,total_interes_oferentes,429541,0.6883443467375445,0.0,0.9752681066362199,0.0,True,ok,
total_respuestas,visualizaciones_del,429541,0.40086349380911207,0.0,0.7488351823685674,0.0,True,ok,
transparency_score,conteo_de_respuestas_a_ofertas,429541,0.07693498847927796,0.0,0.09032098695616576,0.0,True,ok,
transparency_score,duracion,429541,0.002398169195716713,0.11601020081806418,-0.2046453372926921,0.0,True,ok,
transparency_score,duracion_dias,428958,0.0023768878205432417,0.11953279435884918,-0.18946925872547313,0.0,True,ok,
transparency_score,numero_de_lotes,429541,0.04337854904788794,5.891588450597783e-178,0.07788255636553582,0.0,True,ok,
transparency_score,precio_base,429539,0.012903063138172473,2.74591025608543e-17,0.23597170868738807,0.0,True,ok,
transparency_score,precio_base_log,429539,0.1454916844041718,0.0,0.23597170868738807,0.0,True,ok,
transparency_score,proveedores_con_invitacion,429541,0.1452315651055215,0.0,0.25912757305942147,0.0,True,ok,
transparency_score,proveedores_invitados,429541,0.05866451836825538,1e-323,0.32461057128662757,0.0,True,ok,
transparency_score,respuestas_al_procedimiento,429541,0.3747048963024328,0.0,0.6653068728406027,0.0,True,ok,
transparency_score,total_interes_oferentes,429541,0.3179873572086584,0.0,0.6574876177786766,0.0,True,ok,
transparency_score,total_respuestas,429541,0.37523296770402925,0.0,0.6650524002170264,0.0,True,ok,
transparency_score,visualizaciones_del,429541,0.449368070610916,0.0,0.7924197705069721,0.0,True,ok,
visualizaciones_del,respuestas_al_procedimiento,429541,0.4045418468571615,0.0,0.7494774206982251,0.0,True,ok,
conteo_de_respuestas_a_ofertas,numero_de_lotes,429541,0.12297938454357628,0.0,0.05495316654557527,1.769313536712511e-284,True,ok,
duracion_dias,proveedores_invitados,428958,0.0002723383598001893,0.8584346226086074,-0.04876318490469292,4.415326450016387e-224,True,ok,
numero_de_lotes,duracion,429541,-0.0003147463634892048,0.8365704724467428,-0.02295598990965804,3.604209336362466e-51,True,ok,
conteo_de_respuestas_a_ofertas,duracion,429541,-0.00013539500090892635,0.9292910992991322,-0.021823487235926673,2.0469580186116336e-46,True,ok,
duracion_dias,conteo_de_respuestas_a_ofertas,428958,-0.00013704445638409256,0.928480439726825,-0.017170397220193798,2.4088826186581284e-29,True,ok,
proveedores_invitados,conteo_de_respuestas_a_ofertas,429541,-0.003523166737228774,0.02094014143083761,-0.013284758501221624,3.1172915264509455e-18,True,ok,
proveedores_con_invitacion,numero_de_lotes,429541,0.006568978977744615,1.667582010240184e-05,0.013241382652810017,4.0040628643183946e-18,True,ok,
proveedores_con_invitacion,conteo_de_respuestas_a_ofertas,429541,-0.0021873097176173016,0.15170165866647817,-0.009904673861976585,8.492842783463659e-11,True,ok,
duracion_dias,numero_de_lotes,428958,-0.00030078176012941207,0.8438305903684543,-0.00849386329157078,2.6497811197550625e-08,True,ok,
proveedores_invitados,numero_de_lotes,429541,-0.008276687532922752,5.809532594181677e-08,-0.0059117530944844555,0.00010682245641785173,True,ok,
duracion_dias,proveedores_con_invitacion,428958,-0.00028507912959774235,0.8518866753748399,0.001763038425203484,0.2482143126928137,True,ok,
