entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
MINISTERIO DEL TRABAJO DIRECCIÓN TERRITORIAL DEL CAUCA,817002458,703708776,No Definido,No Definido,7,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MINISTERIO DEL TRABAJO-DIRECCION TERRITORIAL HUILA,800216593,703683417,Huila,Neiva,7,87.5557,100.0,100.0,100.0,100.0,100.0,57.1429,0.0,0.0
MUNICIPIO DE HACARI,800099241,704662923,Norte de Santander,Hacarí,7,84.3314,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MUNICIPIO DE LA UVITA,891856257,703700203,Boyacá,La Uvita,7,89.3986,100.0,100.0,100.0,100.0,100.0,85.7143,0.0,0.0
MUNICIPIO DE MILAN,800067452,700588056,Caquetá,Milán,7,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,712452853,Putumayo,San Miguel,7,87.7871,100.0,100.0,100.0,100.0,100.0,57.1429,0.0,0.0
MUNICIPIO DE TELLO,891180127,703091801,No Definido,No Definido,7,88.0186,100.0,100.0,85.7143,100.0,100.0,57.1429,0.0,0.0
MUNICIPIO SAN VICENTE DEL CAGUAN,800095785,702318098,Caquetá,San Vicente Del Caguán,7,88.9386,100.0,100.0,100.0,100.0,100.0,71.4286,0.0,0.0
Municipio Sabana de Torres,890204643,709371504,No Definido,No Definido,7,87.5586,100.0,100.0,100.0,100.0,100.0,57.1429,0.0,0.0
ALCALDIA DE SUSA,899999700,704832104,Cundinamarca,Susa,6,89.515,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA DE TABIO,899999443,704074731,Cundinamarca,Tabio,6,90.0517,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPAL DE IZA,891856077,700605058,Boyacá,Iza,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPAL DE MORALES CAUCA,891500982,702441643,Cauca,Morales,6,84.4083,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
ALCALDÍA MUNICIPAL DE GACHANTIVÁ,800020045,708552245,Boyacá,Gachantivá,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
ALCALDÍA MUNICIPAL DE LURUACO,890103003,710821703,Atlántico,Luruaco,6,89.7833,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDÍA MUNICIPAL DE SAN JOSÉ DEL GUAVIARE,800103180,704106137,Guaviare,San José Del Guaviare,6,89.515,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
ALCALDÍA MUNICIPAL DE TURBANA,890481324,705274926,Bolívar,Turbaná,6,87.9017,100.0,100.0,100.0,100.0,100.0,66.6667,0.0,0.0
CASA MUNICIPAL DE LA CULTURA,800185741,700587082,Antioquia,No Definido,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
CGR-GERENCIA RISARALDA,899999067,708705751,Risaralda,Pereira,6,89.515,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
CONTRALORIA GENERAL DE LA REPUBLICA - GERENCIA DEPARTAMENTAL CHOCO,899999067,708700778,Chocó,Quibdó,6,90.0517,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
CPMSMEL,809003305,702994419,Tolima,Melgar,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
CUERPO OFICIAL DE BOMBEROS DEL MUNICIPIO DE DOSQUEBRADAS,816002062,705986180,Risaralda,Dosquebradas,6,87.0967,100.0,100.0,100.0,100.0,100.0,33.3333,0.0,0.0
DEPARTAMENTO DE CUNDINAMARCA-SECRETARIA DE INTEGRACION REGIONAL,899999114,702180381,Distrito Capital de Bogotá,No Definido,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
DIRECCIÓN TERRITORIAL DE CALDAS MINISTERIO DE TRABAJO,810004736,703829192,Caldas,Manizales,6,84.945,100.0,100.0,100.0,100.0,100.0,16.6667,0.0,0.0
