entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
CONTRALORIA DEPARTAMENTAL DE CASANARE,800183912,705480176,Casanare,No Definido,27,88.7089,100.0,100.0,100.0,100.0,100.0,55.5556,11.1111,3.7037
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,900958564,702730482,Distrito Capital de Bogotá,Bogotá,4387,87.075,100.0,100.0,95.9198,100.0,100.0,51.1739,0.0,3.6699
CORPORACION AUTONOMA REGIONAL DEL QUINDIO,8900004478,702856097,Quindío,Armenia,574,84.5334,100.0,100.0,96.3415,100.0,100.0,9.4077,0.8711,3.6585
DEPARTAMENTO DE POLICIA QUINDIO - UNIDAD PRESTADORA DE SALUD QUINDIO,800140986,702516774,Quindío,No Definido,82,85.6598,100.0,100.0,100.0,100.0,100.0,24.3902,1.2195,3.6585
Rama Judicial  Dirección Seccional de Administración Judicial de Cúcuta,800165874,705600856,Norte de Santander,Cúcuta,138,86.9675,100.0,100.0,99.2754,100.0,100.0,42.029,0.7246,3.6232
ICBF REGIONAL VALLE DEL CAUCA,899999239,704142835,Valle del Cauca,Cali,388,84.6102,100.0,100.0,92.268,100.0,100.0,10.0515,0.7732,3.6082
PERSONERÍA DE BOGOTA,899999061,702542523,Distrito Capital de Bogotá,No Definido,362,84.9482,100.0,100.0,96.6851,100.0,100.0,15.4696,0.2762,3.5912
SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,800250984,700111024,Distrito Capital de Bogotá,Bogotá,336,85.411,100.0,100.0,95.5357,100.0,100.0,20.5357,1.4881,3.5714
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE MEDIANA SEGURIDAD PITALITO - INPEC,813001834,703016303,No Definido,No Definido,28,89.17,100.0,100.0,96.4286,100.0,100.0,75.0,0.0,3.5714
GOBERNACIÓN DE CUNDINAMARCA - SECRETARÍA DE PRENSA Y COMUNICACIONES,899999114,702238932,No Definido,No Definido,28,84.0429,100.0,100.0,100.0,100.0,100.0,3.5714,0.0,3.5714
METUN,9008012094,700890130,Boyacá,No Definido,197,87.2106,100.0,100.0,98.9848,100.0,100.0,51.269,1.0152,3.5533
Secretaría de Bienestar Social - Alcaldía de Tuluá,891900272,712858349,Valle del Cauca,Tuluá,85,84.6671,100.0,100.0,97.6471,100.0,100.0,8.2353,1.1765,3.5294
CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,899999342,702380031,Cundinamarca,Mosquera,483,86.5883,100.0,100.0,99.793,100.0,100.0,33.3333,3.1056,3.5197
CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL,899999073,701177164,Distrito Capital de Bogotá,Bogotá,144,86.8049,100.0,100.0,79.1667,100.0,100.0,30.5556,7.6389,3.4722
INSTITUTO DISTRITAL PARA LA PROTECCIÓN DE LA NIÑEZ Y LA JUVENTUD - IDIPRON*,899999333,700367014,Distrito Capital de Bogotá,No Definido,1221,84.5649,100.0,100.0,97.1335,100.0,100.0,8.3538,0.6552,3.4398
SECRETARÍA GENERAL DE LA ALCALDÍA MAYOR DE BOGOTÁ,899999061,700218068,Distrito Capital de Bogotá,Bogotá,409,85.6564,100.0,100.0,89.9756,100.0,99.511,22.2494,0.978,3.423
MUNICIPIO DE LA UNION,891901109,704260173,Valle del Cauca,La Unión,263,85.5627,100.0,100.0,99.6198,100.0,100.0,19.3916,2.2814,3.4221
UARIV-UNIDAD PARA LA ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS,900490473,700509136,Distrito Capital de Bogotá,Bogotá,646,84.2247,100.0,100.0,95.6656,100.0,100.0,3.87,0.6192,3.4056
Instituto Municipal de Cultura y Turismo de Bucaramanga,890204594,702166430,Santander,Bucaramanga,235,85.5447,100.0,100.0,94.8936,100.0,100.0,25.1064,0.4255,3.4043
ALCALDIA MUNICIPAL DE RESTREPO META,800098199,702308602,Meta,Restrepo,118,86.4533,100.0,100.0,99.1525,100.0,100.0,29.661,0.8475,3.3898
HOSPITAL UNIVERSITARIO DE SINCELEJO-ESE,892280033,707451597,Sucre,Sincelejo,443,85.2024,100.0,100.0,96.3883,100.0,100.0,20.9932,0.0,3.386
AUDITORIA GENERAL DE LA REPUBLICA,830065741,700476070,Distrito Capital de Bogotá,No Definido,119,86.4319,100.0,100.0,97.479,100.0,100.0,27.7311,2.521,3.3613
MUNICIPIO DE SOACHA..,800094755,702158254,Cundinamarca,Soacha,2570,84.5517,100.0,100.0,96.2257,100.0,100.0,8.1323,0.8171,3.3463
PARQUES NACIONALES NATURALES- DIRECCION TERRITORIAL PACIFICO,805003737,702759101,Antioquia,Medellín,151,86.8393,100.0,100.0,94.702,100.0,100.0,41.7219,0.6623,3.3113
PNNC-NC,830016624,700834104,Distrito Capital de Bogotá,No Definido,122,85.2845,100.0,100.0,100.0,100.0,100.0,19.6721,0.8197,3.2787
GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD,890399029,709404925,Valle del Cauca,Cali,429,86.6221,100.0,100.0,98.6014,100.0,100.0,48.0186,1.1655,3.2634
INSTITUTO DE CULTURA Y PATRIMONIO DE ANTIOQUIA,900425129,705351302,Antioquia,No Definido,154,85.2002,100.0,100.0,91.5584,100.0,100.0,18.8312,1.2987,3.2468
ESTABLECIMIENTO PENITENCIARIO LA ESPERANZA DE GUADUAS,900388272,703028878,Cundinamarca,Guaduas,31,90.0084,100.0,100.0,96.7742,100.0,100.0,93.5484,0.0,3.2258
CAJA DE RETIRO DE LAS FUERZAS MILITARES,899999118,701174138,Distrito Capital de Bogotá,Bogotá,156,85.7415,100.0,100.0,98.0769,100.0,100.0,21.1538,2.5641,3.2051
ENTerritorio S.A,899999316,700771157,Distrito Capital de Bogotá,No Definido,1227,84.5667,100.0,100.0,91.7685,100.0,100.0,10.5949,0.0,3.1785
ESCUELA CONTRA LA DROGADICCIÓN EN LIQUIDACIÓN,901341579,708414032,Antioquia,Rionegro,63,85.304,100.0,100.0,100.0,100.0,100.0,9.5238,1.5873,3.1746
CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,800254453,705238228,Bolívar,Cartagena,193,88.2159,100.0,100.0,94.8187,100.0,100.0,40.9326,10.8808,3.1088
DEPARTAMENTO DE POLICIA GUAJIRA,800140974,701706442,La Guajira,No Definido,97,87.2451,100.0,100.0,98.9691,100.0,100.0,48.4536,2.0619,3.0928
Unidad de Busqueda de Personas Desaparecidas,901158482,704477603,Distrito Capital de Bogotá,Bogotá,260,86.2459,100.0,100.0,99.6154,100.0,100.0,28.0769,1.9231,3.0769
"INSTITUTO DEPARTAMENTAL DE CULTURA, DEPORTE Y TURISMO DEL CAQUETA",891190167,703626317,Caquetá,No Definido,65,86.9718,100.0,100.0,100.0,100.0,100.0,44.6154,1.5385,3.0769
ICBF REGIONAL QUINDIO,899999239,704193143,Quindío,Armenia,164,84.4897,100.0,100.0,93.2927,100.0,100.0,9.7561,0.0,3.0488
FONDO FINANCIERO DISTRITAL DE SALUD..,8002469532,701993388,Distrito Capital de Bogotá,No Definido,2199,85.1388,100.0,100.0,99.4998,100.0,100.0,18.1901,0.8186,3.0468
SUPERINTENDENCIA NACIONAL DE SALUD,860062187,700133044,No Definido,No Definido,330,84.7058,100.0,100.0,97.5758,100.0,100.0,11.2121,0.6061,3.0303
ALCALDIA MUNICIPIO DE RICAURTE,890680059,703235119,Cundinamarca,Ricaurte,198,85.6133,100.0,100.0,97.9798,100.0,100.0,25.2525,1.0101,3.0303
SENA REGIONAL ANTIOQUIA Grupo Administrativo CTMAE,899999034,704161686,Antioquia,Puerto Berrío,165,87.2516,100.0,100.0,95.7576,100.0,100.0,54.5455,0.0,3.0303
DEFENSA CIVIL COLOMBIANA,8999997171,702730649,Distrito Capital de Bogotá,Bogotá,99,87.6662,100.0,100.0,96.9697,100.0,100.0,41.4141,7.0707,3.0303
CONTRALORÍA MUNICIPAL DE TULUÁ,900623073,700728058,Valle del Cauca,Tuluá,33,85.6297,100.0,100.0,96.9697,100.0,100.0,24.2424,0.0,3.0303
CORPORACION AUTONOMA REGIONAL DEL CAUCA 12,891501885,702644097,Cauca,Popayán,398,86.3463,100.0,100.0,99.4975,100.0,100.0,25.6281,5.2764,3.0151
Departamento Administrativo de Jurídica,8903990295,706013026,Valle del Cauca,Cali,133,84.0641,100.0,100.0,95.4887,100.0,100.0,3.7594,0.0,3.0075
MEPAS,900807338,701702409,Nariño,Pasto,134,88.985,100.0,100.0,99.2537,100.0,100.0,70.8955,2.9851,2.9851
INSTITUCION UNIVERSITARIA DE ENVIGADO,811000278,702208604,Antioquia,Envigado,269,84.8056,100.0,100.0,99.6283,100.0,100.0,11.1524,0.3717,2.974
ALCALDÍA MUNICIPAL DE LA PINTADA,811009017,700567043,Antioquia,La Pintada,135,85.4351,100.0,100.0,100.0,100.0,100.0,23.7037,0.0,2.963
UNIDAD PRESTADORA DE SALUD ATLANTICO,9013620904,708964812,Atlántico,Soledad,477,84.6748,100.0,100.0,100.0,100.0,100.0,12.5786,0.8386,2.935
MINJUSTICIA..,900457461,700103013,Distrito Capital de Bogotá,No Definido,376,85.483,100.0,100.0,97.8723,100.0,100.0,18.0851,1.5957,2.9255
FONDO ROTATORIO DE LA REGISTRADURIA,899999737,705137271,Distrito Capital de Bogotá,No Definido,138,89.2233,100.0,100.0,100.0,100.0,100.0,41.3043,16.6667,2.8986
GESTORA URBANA BANCO INMOBILIARIO DE IBAGUE,809009742,702631524,Tolima,Ibagué,69,84.9219,100.0,100.0,98.5507,100.0,100.0,13.0435,0.0,2.8986
UPRA,900.479.658,700093016,Distrito Capital de Bogotá,Bogotá,69,85.3896,100.0,100.0,89.8551,100.0,100.0,14.4928,1.4493,2.8986
CORPOBOYACA,800252843,702744467,Boyacá,Tunja,382,85.2128,100.0,100.0,99.7382,100.0,100.0,16.7539,2.0942,2.8796
ALCALDIA LOCAL DE MARTIRES,899999061,702169178,Distrito Capital de Bogotá,Bogotá,139,85.9472,100.0,100.0,97.1223,100.0,100.0,18.705,3.5971,2.8777
UNIDAD ADMINISTRATIVA ESPECIAL DE SALUD DE ARAUCA,900034608,700587157,Arauca,No Definido,871,84.6608,100.0,100.0,99.8852,100.0,100.0,9.4145,1.0333,2.8703
ALCALDÍA MUNICIPAL DE EL SOCORRO,890203688,700587140,Santander,Socorro,140,85.4486,100.0,100.0,98.5714,100.0,100.0,18.5714,0.7143,2.8571
Secretaría de Salud - Alcaldía de Tuluá,891900272,712855485,Valle del Cauca,Tuluá,105,84.039,100.0,100.0,99.0476,100.0,100.0,3.8095,0.0,2.8571
COMPLEJO CARCELARIO Y PENITENICARIO DE MEDIA SEGURIDAD DE CUCUTA INCLUYE PABELLON DE RECLUSION ESPECIAL,900577112,701118028,Norte de Santander,Cúcuta,70,89.699,100.0,100.0,100.0,100.0,100.0,87.1429,0.0,2.8571
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE VILLAVICENCIO,892099122,703013441,Meta,Villavicencio,70,89.7679,100.0,100.0,97.1429,100.0,100.0,94.2857,0.0,2.8571
COMANDO AEREO DE TRANSPORTE MILITAR,800141639,701993255,Distrito Capital de Bogotá,No Definido,35,89.4917,100.0,100.0,100.0,100.0,100.0,74.2857,2.8571,2.8571
"INSTITUTO DE FINANCIAMIENTO, PROMOCION Y DESARROLLO DE CALDAS",8908060063,701231045,Caldas,Manizales,106,87.1721,100.0,100.0,96.2264,100.0,100.0,39.6226,0.9434,2.8302
BIBLIOTECA PUBLICA PILOTO DE MEDELLIN PARA AMERICA LATINA,890980150,704683010,Antioquia,Medellín,425,84.7771,100.0,100.0,91.5294,100.0,100.0,11.2941,0.9412,2.8235
MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,830115395,700209018,Distrito Capital de Bogotá,Bogotá,533,84.3573,100.0,100.0,96.06,100.0,100.0,6.1914,0.7505,2.8143
INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE YUMBO,805003325,705999456,Valle del Cauca,Yumbo,72,85.4829,100.0,100.0,100.0,100.0,100.0,20.8333,1.3889,2.7778
RADIO TELEVISION NACIONAL DE COLOMBIA.,900002583,701172108,Distrito Capital de Bogotá,Bogotá,2126,84.1159,100.0,100.0,95.5786,100.0,100.0,2.7281,0.3293,2.7752
SECRETARIA DISTRITAL DE GOBIERNO 1,899999061,701427445,Distrito Capital de Bogotá,Bogotá,1010,84.2917,100.0,100.0,96.7327,100.0,100.0,4.7525,0.6931,2.7723
UAECD,900127768,702344805,Distrito Capital de Bogotá,Bogotá,872,84.5211,100.0,100.0,97.5917,100.0,100.0,8.7156,0.1147,2.7523
DEPARTAMENTO DE POLICIA CAQUETA - POLICIA NACIONAL DE COLOMBIA,800140607,701702359,Caquetá,Florencia,73,87.7804,100.0,100.0,100.0,100.0,100.0,54.7945,4.1096,2.7397
FISCALÍA GENERAL DE LA NACIÓN REGIONAL NORORIENTAL,800187569,705194777,Santander,Bucaramanga,37,88.4468,100.0,100.0,89.1892,100.0,100.0,67.5676,0.0,2.7027
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE BIENESTAR SOCIAL,890399011,702441189,Valle del Cauca,Cali,1013,84.3892,100.0,100.0,97.8282,100.0,100.0,6.5153,0.8885,2.6654
MUNICIPIO DE PÚERTO ASIS PUTUMAYO,891200461,703037499,Putumayo,Puerto Asís,339,86.387,100.0,100.0,99.705,100.0,100.0,35.1032,2.9499,2.6549
MUNICIPIO DE TOCANCIPA,899999428,705044196,Cundinamarca,Tocancipá,377,85.8381,100.0,100.0,95.756,100.0,100.0,21.2202,1.8568,2.6525
AEROCIVIL,899999059,701110272,Distrito Capital de Bogotá,No Definido,1213,88.9442,100.0,100.0,99.5054,100.0,100.0,52.5969,11.2119,2.6381
MUNICIPIO DE ENVIGADO*,890907106,702001421,Antioquia,Envigado,872,85.8289,100.0,100.0,87.3853,100.0,100.0,23.0505,2.4083,2.6376
MESAN,900552743,701711038,Bolívar,Cartagena,77,88.8347,100.0,100.0,100.0,100.0,100.0,70.1299,5.1948,2.5974
Rama Judicial  Dirección Seccional de Administración Judicial de Cartagena,800165831,705641884,Bolívar,Cartagena,117,86.5993,100.0,100.0,100.0,100.0,100.0,31.6239,4.2735,2.5641
ALCALDIA MUNICIPAL DE FACATATIVA,899999328,704060383,Cundinamarca,Facatativá,510,85.7235,100.0,100.0,97.6471,100.0,100.0,20.0,2.3529,2.549
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,890480184,703301051,Bolívar,Cartagena,2709,85.0491,100.0,100.0,97.1207,100.0,100.0,10.7789,2.99,2.5102
CANAL CAPITAL,830012587,705377810,Distrito Capital de Bogotá,No Definido,399,84.2339,100.0,100.0,93.2331,100.0,99.7494,6.7669,0.0,2.5063
INSTITUTO DE CULTURA Y TURISMO DE BOLIVAR,900673958,702331174,Bolívar,No Definido,40,85.241,100.0,100.0,97.5,100.0,100.0,17.5,0.0,2.5
SECRETARÍA DISTRITAL DE MOVILIDAD,8999990619,701699407,Distrito Capital de Bogotá,Bogotá,1485,84.6618,100.0,100.0,97.7104,100.0,100.0,11.1785,0.3367,2.4916
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE MOVILIDAD,890399011,702948969,Valle del Cauca,Cali,522,84.6395,100.0,100.0,97.8927,100.0,100.0,7.6628,1.341,2.4904
MUNICIPIO DE CAROLINA DEL PRINCIPE,890984068,702576059,Antioquia,Carolina,241,85.7371,100.0,100.0,99.5851,100.0,100.0,27.8008,0.8299,2.4896
ALCALDIA MUNICIPIO DE PUERTO LOPEZ - META,892099325,711994194,Meta,Puerto López,327,87.6584,100.0,100.0,100.0,100.0,100.0,32.1101,9.7859,2.4465
GOBERNACIÓN DEPARTAMENTO DEL PUTUMAYO,800094164,702475393,Putumayo,Mocoa,1146,85.1664,100.0,100.0,98.5166,100.0,100.0,15.8813,1.6579,2.4433
SENA REGIONAL CUNDINAMARCA Grupo Administrativo CDAE,899999034,704162254,Cundinamarca,Villeta,164,88.01,100.0,100.0,89.6341,100.0,100.0,58.5366,3.0488,2.439
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,890270833,703599134,No Definido,No Definido,41,86.4666,100.0,100.0,100.0,100.0,100.0,36.5854,0.0,2.439
FISCALÍA GENERAL DE LA NACIÓN REGIONAL PACÍFICO,800187575,704795558,Valle del Cauca,No Definido,41,88.5905,100.0,100.0,95.122,100.0,100.0,53.6585,7.3171,2.439
IDS,890500890,711724823,Norte de Santander,Cúcuta,948,84.292,100.0,100.0,99.789,100.0,100.0,6.4346,0.5274,2.4262
DEPARTAMENTO DE CUNDINAMARCA - SECRETARIA DE EDUCACION,899999114,702179409,Cundinamarca,No Definido,497,86.1672,100.0,100.0,64.7887,100.0,100.0,35.8149,0.0,2.4145
ICBF REGIONAL ANTIOQUIA,899999239,704148691,Antioquia,Medellín,373,84.363,100.0,100.0,91.9571,100.0,100.0,6.1662,0.5362,2.4129
POLICIA METROPOLITANA DE POPAYAN,900593683,701695108,Cauca,No Definido,168,87.3454,100.0,100.0,100.0,100.0,100.0,43.4524,4.1667,2.381
SUBCUENTA DEL SISTEMA DE PARQUES NACIONALES NATURALES DEL FONDO NACIONAL AMBIENTAL -FONAM DTPA,901037393,703306522,Antioquia,Medellín,84,88.7087,100.0,100.0,97.619,100.0,100.0,67.8571,2.381,2.381
INSTITUTO DE EDUCACIÓN TÉCNICA PROFESIONAL DE ROLDANILLO VALLE DEL CAUCA,891902811,703076125,Valle del Cauca,Roldanillo,42,88.7862,100.0,100.0,100.0,100.0,100.0,52.381,11.9048,2.381
DEPARTAMENTO DE CUNDINAMARCA - SECRETARÍA DE COMPETITIVIDAD Y DESARROLLO ECONÓMICO,899999114,702208448,Distrito Capital de Bogotá,Bogotá,253,84.055,100.0,100.0,97.6285,100.0,100.0,1.9763,0.0,2.3715
MUNICIPIO DE SAN JOSE DE CUCUTA,890501434,700445042,Norte de Santander,Cúcuta,2573,84.9051,100.0,100.0,97.7847,100.0,100.0,13.5639,1.0494,2.3708
MUNICIPIO DE ITAGUI,890980093,703738674,Antioquia,Itagui,211,85.9341,100.0,100.0,98.1043,100.0,100.0,34.1232,0.4739,2.3697
ALCALDIA LOCAL DE USME,899999061,702234303,Distrito Capital de Bogotá,Bogotá,255,86.3244,100.0,100.0,96.8627,100.0,100.0,22.3529,1.9608,2.3529
MUNICIPIO DE PAIPA,891801240,703584037,Boyacá,No Definido,470,85.5552,100.0,100.0,100.0,100.0,99.7872,17.4468,3.617,2.3404
CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA,890311425,704369933,Valle del Cauca,Cali,172,86.9927,100.0,100.0,97.6744,100.0,100.0,33.1395,4.0698,2.3256
INSTITUTO MUNICIPAL DE RECREACION Y DEPORTE DE COTA CUNDINAMARCA,832000795,704122589,Cundinamarca,Cota,43,88.0714,100.0,100.0,95.3488,100.0,100.0,44.186,6.9767,2.3256
UNIDAD PRESTADORA DE SALUD BOGOTÁ,901361596,709033765,Distrito Capital de Bogotá,Bogotá,174,84.8525,100.0,100.0,100.0,100.0,100.0,16.6667,0.0,2.2989
UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PÚBLICOS..,900126860,701922320,Distrito Capital de Bogotá,Bogotá,481,84.829,100.0,100.0,98.5447,100.0,100.0,13.7214,0.2079,2.2869
INSTITUTO UNIVERSITARIO DE LA PAZ,800024581,703935064,No Definido,No Definido,44,88.3423,100.0,100.0,100.0,100.0,100.0,43.1818,6.8182,2.2727
SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,899999007,700898067,Distrito Capital de Bogotá,Bogotá,1346,84.4057,100.0,100.0,91.4562,100.0,100.0,7.4294,0.1486,2.2288
ALCALDIA DE HONDA,800100058,702721184,Tolima,Honda,180,87.8309,100.0,100.0,98.8889,100.0,100.0,38.3333,7.2222,2.2222
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO OCAÑA,807001559,703743096,Norte de Santander,Ocaña,45,89.3182,100.0,100.0,100.0,100.0,100.0,86.6667,0.0,2.2222
MINISTERIO DE COMERCIO INDUSTRIA Y TURISMO - MINCIT,830115297,700358088,Distrito Capital de Bogotá,Bogotá,181,86.5874,100.0,100.0,98.3425,100.0,100.0,39.779,1.105,2.2099
Secretaría de Educación - Alcaldía de Tuluá,891900272,712855451,Valle del Cauca,Tuluá,46,85.9041,100.0,100.0,100.0,100.0,100.0,26.087,2.1739,2.1739
ALCALDIA DEL MUNICIPIO DE AGUAZUL,891855200,701635120,Casanare,Aguazul,47,88.1257,100.0,100.0,82.9787,100.0,100.0,57.4468,0.0,2.1277
INSTITUTO MUNICIPAL DE RECREACION Y DEPORTES DE TOCANCIPA,832002349,709649057,Cundinamarca,Tocancipá,142,84.5744,100.0,100.0,100.0,100.0,100.0,5.6338,2.1127,2.1127
CONGRESO DE LA REPÚBLICA - HONORABLE SENADO DE LA REPÚBLICA,899999103,701428641,Distrito Capital de Bogotá,Bogotá,1234,84.0779,100.0,100.0,97.5689,100.0,100.0,3.4846,0.0,2.107
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL,800141338,701694408,Distrito Capital de Bogotá,No Definido,333,90.0057,100.0,100.0,98.7988,100.0,100.0,87.6877,1.5015,2.1021
UNIDAD PRESTADORA DE SALUD ANTIOQUIA,901363087,708899216,Antioquia,Envigado,623,89.3911,100.0,100.0,100.0,100.0,100.0,81.0594,2.2472,2.0867
ANI,8301259969,700771041,Distrito Capital de Bogotá,Bogotá,194,84.9923,100.0,100.0,96.9072,100.0,100.0,13.4021,0.0,2.0619
UNIDAD PRESTADORA DE SALUD SANTANDER,901361090,709017214,Santander,Bucaramanga,488,84.4946,100.0,100.0,99.7951,100.0,100.0,9.6311,0.2049,2.0492
SERVICIO GEOLOGICO COLOMBIANO**,899999294,700765068,Distrito Capital de Bogotá,Bogotá,1135,85.0835,100.0,100.0,97.7974,100.0,100.0,14.8899,0.3524,2.0264
AGENCIA NACIONAL DE TIERRAS - ANT,900948953,702066010,Distrito Capital de Bogotá,Bogotá,909,84.1291,100.0,100.0,95.8196,100.0,100.0,4.1804,0.11,1.9802
PERSONERIA DE BUCARAMANGA,8040067800,700583081,Santander,Bucaramanga,102,84.2495,100.0,100.0,100.0,100.0,100.0,5.8824,0.0,1.9608
ALCALDIA MUNICIPAL DE CHIA,899999172,702831819,Cundinamarca,Chía,616,86.3838,100.0,100.0,97.8896,100.0,100.0,26.1364,4.5455,1.9481
MUNICIPIO DE YUMBO VALLE,890399025,702384066,Valle del Cauca,No Definido,621,85.7687,100.0,100.0,98.3897,100.0,99.6779,18.8406,4.3478,1.9324
ALCALDÍA DE POPAYÁN,891580006,703038141,Cauca,Popayán,1764,85.3851,100.0,100.0,99.8299,100.0,99.8866,19.5578,1.5873,1.9274
DEPARTAMENTO DE POLICIA CHOCO,800140951,701694218,Chocó,No Definido,53,90.2906,100.0,100.0,100.0,100.0,100.0,71.6981,13.2075,1.8868
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,890399011,703282152,Valle del Cauca,Cali,2300,84.2417,100.0,100.0,98.6087,100.0,100.0,3.2609,0.7826,1.8696
SANTIAGO DE CALI DISTRITO ESPECIAL- SECRETARIA DE TURISMO,890399011,702616558,Valle del Cauca,Cali,107,85.3925,100.0,100.0,98.1308,100.0,100.0,15.8879,3.7383,1.8692
GOBERNACIÓN DE BOLÍVAR//,890480059,700961014,Bolívar,Turbaco,2426,84.4298,100.0,100.0,99.5878,100.0,100.0,6.5952,0.2473,1.8549
ALCALDÍA MUNICIPAL DE CANDELARIA VALLE,891380038,701400236,Valle del Cauca,Candelaria,382,85.8883,100.0,100.0,100.0,100.0,100.0,25.1309,2.356,1.8325
INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIO TÉCNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ.,899999035,702350083,Distrito Capital de Bogotá,Bogotá,655,84.301,100.0,100.0,62.5954,100.0,100.0,7.0229,0.0,1.8321
DEPARTAMENTO DEL ARAUCA,8001028385,709183180,Arauca,Arauca,660,87.0277,100.0,100.0,98.7879,100.0,100.0,22.7273,8.7879,1.8182
SENA REGIONAL NARIÑO Grupo Administrativo CAPCP,899999034,704153840,Nariño,Tumaco,110,85.8347,100.0,100.0,98.1818,100.0,100.0,30.0,0.0,1.8182
MINSALUD,900474727,700637051,Distrito Capital de Bogotá,No Definido,1113,84.4584,100.0,100.0,98.6523,100.0,100.0,8.1761,0.2695,1.7969
POLICIA METROPOLITANA DE IBAGUE - UPRES TOLIMA,900486439,702443029,Tolima,Ibagué,167,85.1353,100.0,100.0,98.8024,100.0,100.0,20.3593,0.0,1.7964
SANTIAGO DE CALI DISTRITO ESPECIAL- UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE BIENES Y SERVICIOS - CALI,890399011,702825183,Valle del Cauca,Cali,391,85.0704,100.0,100.0,91.5601,100.0,100.0,12.532,1.5345,1.7903
CORPORACION AUTONOMA REGIONAL DE LA FRONTERA NORORIENTAL+,890505253,706029618,Norte de Santander,Cúcuta,1008,84.4733,100.0,100.0,99.504,100.0,100.0,6.25,1.2897,1.7857
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE INFRAESTRUCTURA,890399011,702511981,Valle del Cauca,Cali,964,84.4723,100.0,100.0,99.8963,100.0,100.0,5.1867,1.6598,1.7635
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,800150861,701870321,Distrito Capital de Bogotá,No Definido,1817,89.9584,100.0,100.0,98.9543,100.0,99.8899,90.5889,1.3759,1.7611
MUNICIPIO DE EL CERRITO.,800100533,703714378,Valle del Cauca,El Cerrito,285,85.93,100.0,100.0,98.5965,100.0,100.0,24.5614,2.4561,1.7544
INSTITUTO FINANCIERO DE CASANARE,800221777,700588080,Casanare,Yopal,116,85.1215,100.0,100.0,100.0,100.0,100.0,12.931,2.5862,1.7241
POLICÍA NACIONAL - DEPARTAMENTO DE POLICIA CASANARE,844000016,701709024,Casanare,Yopal,58,86.8174,100.0,100.0,98.2759,100.0,100.0,37.931,3.4483,1.7241
MUNICIPIO DE PAMPLONA,800007652,704972165,Norte de Santander,Pamplona,233,85.2131,100.0,100.0,98.7124,100.0,100.0,15.8798,0.8584,1.7167
ALCALDÍA LOCAL DE CHAPINERO - FONDO DE DESARROLLO LOCAL,899999061,700599038,Distrito Capital de Bogotá,Bogotá,236,85.8657,100.0,100.0,90.2542,100.0,100.0,17.7966,4.661,1.6949
ASOCIACION AEROPUERTO DEL CAFE,900240084,701539611,Caldas,No Definido,60,85.5635,100.0,100.0,100.0,100.0,100.0,26.6667,0.0,1.6667
ALCALDIA MUNICIPAL DE PUERTO BOYACA,891800466,710552290,Boyacá,Puerto Boyacá,603,87.0797,100.0,100.0,98.8391,100.0,100.0,37.6451,3.9801,1.6584
CORPORACION AUTONOMA REGIONAL DEL MAGDALENA,800099287,703876458,Magdalena,Santa Marta,365,85.5668,100.0,100.0,99.4521,100.0,100.0,21.0959,2.7397,1.6438
MUNICIPIO DE JERICO - ANTIOQUIA,890981069,702596461,Antioquia,No Definido,183,85.2625,100.0,100.0,100.0,100.0,100.0,19.1257,0.5464,1.6393
