Feature,Coefficient
cat__nombre_de_la_unidad_de_CENTRAL ADMINISTRATIVA Y CONTABLE USAQUEN,0.4983653243036742
cat__entidad_Central administrativa regional Usaquen,0.4970913185622049
cat__nit_entidad_800131070,0.4970913185622049
cat__codigo_entidad_701742462,0.4970913185622049
cat__nombre_de_la_unidad_de_Secretaría de Cultura,-0.49513298335096667
cat__nombre_de_la_unidad_de_Secretaría de Paz y Cultura Ciudadana,-0.48530097453940163
cat__entidad_SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE PAZ Y CULTURA CIUDADANA,-0.48530097453940163
cat__codigo_entidad_702364142,-0.48530097453940163
cat__nombre_de_la_unidad_de_ICBF REGIONAL HUILA,-0.48018425026595707
cat__codigo_entidad_704150309,-0.48018425026595707
cat__entidad_ICBF REGIONAL HUILA,-0.48018425026595707
cat__codigo_principal_de_categoria_V1.51101500,-0.4797880498176746
cat__codigo_principal_de_categoria_V1.46181500,-0.47955931960670933
cat__codigo_principal_de_categoria_V1.86111600,-0.47513254953718564
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN COMM,-0.47441164033826794
cat__codigo_principal_de_categoria_V1.81111500,0.4729870232908508
cat__nombre_de_la_unidad_de_CENTRO DE COMERCIO Y SERVICIOS - SENA REGIONAL CAUCA,-0.4714064243233626
cat__entidad_CENTRO DE COMERCIO Y SERVICIOS - SENA REGIONAL CAUCA,-0.4714064243233626
cat__codigo_entidad_704154459,-0.4714064243233626
cat__nombre_de_la_unidad_de_ANÁLISIS ESTUDIO DE MERCADO,-0.4712688579460813
cat__codigo_pci_Descentralizada,0.4688714532761431
"cat__categorias_adicionales_V143211500, V143222800, V143231500, V143232300, V143232400",-0.4681282402872472
cat__codigo_principal_de_categoria_V1.46181503,-0.46559190863466915
cat__modalidad_de_contratacion_Selección abreviada subasta inversa,-0.46326413297662816
cat__justificaci_n_modalidad_de_Suministro de bienes y servicios de características técnicas uniformes y común utilización,-0.46326413297662816
cat__categorias_adicionales_V141105300,-0.4593076596452089
cat__tiene_categorias_adicionales_True,0.4565070352877517
cat__modalidad_de_contratacion_Licitación pública,-0.45468408588553516
"cat__categorias_adicionales_V126111701, V131201516, V142192207",-0.4520845539021643
cat__codigo_principal_de_categoria_V1.23242300,-0.45088670403522446
cat__nit_entidad_800141624,0.45088018608645786
cat__nombre_de_la_unidad_de_CACOM-1,0.45088018608645786
cat__codigo_entidad_701821332,0.45088018608645786
cat__entidad_COMANDO AÉREO DE COMBATE No. 1,0.45088018608645786
cat__entidad_SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA,-0.4504083910796259
cat__codigo_entidad_702384207,-0.4504083910796259
cat__codigo_entidad_700637010,0.44851360218541336
"cat__entidad_Ministerio de las Culturas, las Artes y los Saberes",0.44851360218541336
cat__nit_entidad_830034348,0.44851360218541336
"cat__categorias_adicionales_V142132201, V146181501",-0.44778854818879393
cat__codigo_principal_de_categoria_V1.23242302,-0.44235519300697235
cat__codigo_principal_de_categoria_V1.53141500,-0.4405030645753397
cat__codigo_principal_de_categoria_V1.72151500,-0.4374612276514418
cat__codigo_principal_de_categoria_V1.80141607,0.43482297603117326
cat__codigo_principal_de_categoria_V1.24121802,-0.43105226715668865
cat__departamento_entidad_Caldas,0.4308108217570919
cat__codigo_principal_de_categoria_V1.81141601,0.42935693574574785
cat__codigo_principal_de_categoria_V1.39121700,-0.4291498137296062
cat__ciudad_de_la_unidad_de_NO_APLICA,-0.42750095824754625
"cat__categorias_adicionales_V150161500, V150202600, V152121600, V152151500",-0.4274289496339429
cat__modalidad_de_contratacion_Contratación Directa (con ofertas),-0.42457272288845227
cat__codigo_entidad_701870321,0.42325110695222196
cat__entidad_INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,0.42325110695222196
cat__nit_entidad_800150861,0.42325110695222196
"cat__categorias_adicionales_V180101507, V180101509",-0.42311721194861984
cat__nit_entidad_800130632,-0.42264255633226444
cat__codigo_entidad_700391063,-0.42264255633226444
cat__entidad_EJERCITO NACIONAL - DIRECCIÓN DE ADQUISICIONES,-0.42264255633226444
cat__codigo_principal_de_categoria_V1.80101504,-0.42134806231963534
"cat__categorias_adicionales_V186101700, V186141700",-0.4174231941657197
cat__nombre_de_la_unidad_de_SECRETARÍA SUMINISTROS Y SERVICIOS,-0.41615377925208225
cat__codigo_principal_de_categoria_V1.72101506,-0.4144693968881499
cat__ciudad_entidad_Bucaramanga,-0.41303904791910545
cat__codigo_principal_de_categoria_V1.56112104,0.4115276042303724
cat__entidad_DISAN-DMSOC,-0.4113847044565866
cat__nombre_de_la_unidad_de_CONTRATACIÓN DMSOC 2026,-0.4113847044565866
cat__codigo_entidad_702958711,-0.4113847044565866
cat__nombre_de_la_unidad_de_GILBERTO ACOSTA GUTIERREZ,0.41105062237884427
cat__codigo_principal_de_categoria_V1.44103100,-0.41076844543973035
cat__categorias_adicionales_V146191601,0.4097379153874675
cat__nombre_de_la_unidad_de_SECRETARIA DE GOBIERNO,-0.4088862580032847
cat__codigo_principal_de_categoria_V1.46171600,-0.40574096996745385
cat__codigo_principal_de_categoria_V1.78181500,0.4054067138870531
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN II- DIRECCIÓN,0.4050393440688864
cat__codigo_principal_de_categoria_V1.42191800,-0.40473117092300537
cat__codigo_principal_de_categoria_V1.85121500,0.4045833611741939
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN I- DIRECCIÓN,0.4038440444154524
cat__codigo_entidad_702441627,-0.4029405457904592
cat__entidad_SENA REGIONAL SANTANDER Grupo de Apoyo Administrativo Mixto,-0.4029405457904592
cat__ciudad_de_la_unidad_de_Pasto,-0.40287335639734034
cat__justificaci_n_modalidad_de_No existe pluralidad de oferentes en el mercado,0.402400482209361
cat__codigo_principal_de_categoria_V1.42131700,-0.4017588103276062
cat__codigo_principal_de_categoria_V1.31151500,0.400951031278821
cat__nombre_de_la_unidad_de_Cotizaciones a Proveedores,0.399947627959446
cat__codigo_principal_de_categoria_V1.82121503,0.39950369878364955
cat__tipo_de_contrato_Obra,-0.394923303292231
cat__ciudad_entidad_Cali,0.39436090904113347
"cat__categorias_adicionales_V114111800, V114111815, V144103100, V144103103, V144103107, V144103112, V144103125, V181112306",-0.3938553146915447
cat__nit_entidad_899999069,0.39337670772162453
cat__entidad_POLICIA METROPOLITANA DE MANIZALES-UPRES CALDAS,0.3927036569378336
cat__nombre_de_la_unidad_de_POLICIA METROPOLITANA DE MANIZALES-ÁREA DE SANIDAD,0.3927036569378336
cat__codigo_entidad_702329319,0.3927036569378336
cat__codigo_entidad_702095092,0.3918788297517387
cat__entidad_ALCALDIA LOCAL DE CIUDAD BOLIVAR //,0.3918788297517387
cat__nit_entidad_890981105,-0.3912978580813871
cat__codigo_entidad_702475013,-0.3912978580813871
cat__entidad_MUNICIPIO DE PUEBLORRICO,-0.3912978580813871
cat__ciudad_entidad_Pueblorrico,-0.3912978580813871
cat__ciudad_de_la_unidad_de_Pueblorrico,-0.3912978580813871
cat__nit_entidad_899999061,0.39109883018326075
"cat__categorias_adicionales_V142131600, V142131604, V142131609, V142131613, V142131702, V142132200, V142132203, V142132205, V147121700, V147121709, V147131500, V147131502, V147131800, V151102700",-0.3907606159012419
cat__nombre_de_la_unidad_de_CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR,0.39053827392231516
cat__codigo_principal_de_categoria_V1.44122000,-0.3896353768986466
cat__nombre_de_la_unidad_de_CENTRO METALMECANICO D.C,0.387107752064858
cat__codigo_principal_de_categoria_V1.72154000,-0.38689977599634723
cat__codigo_principal_de_categoria_V1.72151704,-0.38329599546035037
cat__codigo_principal_de_categoria_V1.41111703,-0.3820851082905114
"cat__categorias_adicionales_V141102404, V141104405",-0.38205621102114834
"cat__categorias_adicionales_V143211507, V143211606, V181111506",-0.38078983350921575
cat__ciudad_de_la_unidad_de_Cali,-0.3804076538436307
cat__codigo_principal_de_categoria_V1.72101511,0.3799030944434355
cat__codigo_principal_de_categoria_V1.83101808,-0.37951193811885753
"cat__categorias_adicionales_V183101901, V183101902",-0.3794750266623681
cat__entidad_ESTABLECIMIENTO PENITENCIARIO LAS HELICONIAS,-0.3788002703796146
cat__codigo_entidad_701129025,-0.3788002703796146
cat__nit_entidad_900416823,-0.3788002703796146
cat__codigo_principal_de_categoria_V1.80111614,-0.37761472094642623
cat__entidad_UNIDAD PRESTADORA DE SALUD HUILA,-0.3769023599327074
cat__nit_entidad_901362454,-0.3769023599327074
cat__codigo_entidad_708942131,-0.3769023599327074
cat__nombre_de_la_unidad_de_GRUPO DE CONTRATACION UPRES No. 2,-0.3767837241642696
"cat__categorias_adicionales_V114111704, V150131704, V150151513, V150161511, V150161814, V150171551, V150192901, V150201706, V150221002, V150221101, V150404500, V150421844, V152121505, V152121508, V152121509, V152121701, V152151704, V152151807, V152152004, V152152101, V153102305, V153131503, V153131604, V153131606, V153131608, V153131615, V156101508",-0.37533643865228067
cat__codigo_principal_de_categoria_V1.72101500,-0.3735411962341793
cat__codigo_principal_de_categoria_V1.81131500,-0.3719030192355166
cat__codigo_principal_de_categoria_V1.81161800,-0.3710918474496775
cat__nit_entidad_901037916,-0.3700306604495718
cat__codigo_entidad_701594715,-0.3700306604495718
cat__entidad_ADRES,-0.3700306604495718
cat__nombre_de_la_unidad_de_DIRECCIÓN ADMINISTRATIVA Y FINANCIERA,-0.3698830043322162
cat__ciudad_de_la_unidad_de_Pitalito,-0.3697502394628697
cat__codigo_entidad_705377810,-0.36792850150542517
cat__entidad_CANAL CAPITAL,-0.36792850150542517
cat__nit_entidad_830012587,-0.36792850150542517
cat__codigo_principal_de_categoria_V1.43211507,-0.3646424209442831
cat__codigo_principal_de_categoria_V1.91111502,0.36388606698997017
cat__entidad_ALCALDIA LOCAL DE USME,-0.36284438367868405
cat__codigo_entidad_702234303,-0.36284438367868405
cat__nombre_de_la_unidad_de_CENTRO DE COMERCIO INDUSTRIA Y TURISMO DE CORDOBA,0.3620111582169505
cat__ciudad_entidad_Bogotá,0.3615081624716075
cat__ciudad_de_la_unidad_de_Medellín,0.3597356416557934
cat__nombre_de_la_unidad_de_SECRETARIA GENERAL,0.3583071251996724
cat__tipo_de_contrato_Compraventa,-0.3578743510356879
cat__codigo_principal_de_categoria_V1.42151909,-0.35467937115312864
cat__codigo_principal_de_categoria_V1.32111701,-0.35352190461381244
cat__departamento_entidad_Risaralda,0.3489919687273056
cat__nombre_de_la_unidad_de_CONTRATACIÓN OPS REGIONAL 7,0.3485574180949326
cat__codigo_entidad_700509136,0.34828508527916646
cat__entidad_UARIV-UNIDAD PARA LA ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS,0.34828508527916646
cat__nit_entidad_900490473,0.34795538849156493
cat__codigo_entidad_704160183,-0.34776477034934317
cat__entidad_SENA REGIONAL DISTRITO CAPITAL Grupo de Apoyo Administrativo Mixto CSF,-0.34776477034934317
cat__ciudad_de_la_unidad_de_Valledupar,-0.3464628361068328
cat__codigo_principal_de_categoria_V1.77121500,-0.34560018967234224
cat__codigo_entidad_702312703,-0.34484864844259455
cat__entidad_UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA,-0.34484864844259455
cat__justificaci_n_modalidad_de_Contratos o convenios Interadministrativos (valor cero),0.34476636232123786
cat__ordenentidad_Nacional,0.3444679089306749
cat__nombre_de_la_unidad_de_GENERAL,-0.34244747125594965
cat__ciudad_de_la_unidad_de_Chinchiná,-0.3418470766846975
cat__nombre_de_la_unidad_de_DEPARTAMENTO DE POLICIA QUINDIO,-0.34069422531216825
cat__codigo_principal_de_categoria_V1.85101600,0.3395435746446655
cat__codigo_principal_de_categoria_V1.90101802,-0.33949887344328183
cat__codigo_entidad_704141977,-0.3394936699069407
cat__nombre_de_la_unidad_de_ICBF REGIONAL CALDAS,-0.3394936699069407
cat__entidad_ICBF REGIONAL CALDAS,-0.3394936699069407
cat__fue_duplicado_exacto_False,0.3394562977128732
cat__departamento_entidad_Huila,-0.33890244323357327
cat__categorias_adicionales_V139121000,-0.3388990612542851
cat__codigo_principal_de_categoria_V1.70111503,-0.3383094940486807
cat__codigo_principal_de_categoria_V1.73152100,0.3339480100747779
cat__codigo_principal_de_categoria_V1.80101500,0.3323939403756338
cat__codigo_principal_de_categoria_V1.82121500,-0.3320781347158181
cat__ciudad_de_la_unidad_de_Nilo,0.3316238912263675
cat__departamento_entidad_Nariño,-0.33160603825107354
cat__entidad_SENA REGIONAL CESAR Grupo de Apoyo Administrativo Mixto,-0.3311901320990557
cat__codigo_entidad_704154335,-0.3311901320990557
cat__codigo_principal_de_categoria_V1.27111500,-0.3302128705021645
cat__codigo_principal_de_categoria_V1.44121506,-0.3300707106449472
"cat__categorias_adicionales_V180141607, V180141902, V182101501, V182101502, V182101503, V182101504, V182101505, V182101506, V182101507, V182101508, V182101802",-0.32921102641262845
cat__codigo_entidad_704160571,-0.32845287888429886
cat__entidad_SENA REGIONAL DISTRITO CAPITAL Grupo Administrativo Intercentros CTCM,-0.32845287888429886
cat__nombre_de_la_unidad_de_SECRETARIA JURIDICA,-0.3284306478892294
cat__codigo_principal_de_categoria_V1.93141506,0.3279974899300626
cat__codigo_principal_de_categoria_V1.43233700,-0.3276453184365626
cat__nit_entidad_899999034,0.32736645590318486
cat__entidad_ALCALDIA LOCAL DE KENNEDY,0.3242700499344772
cat__codigo_entidad_702292459,0.3242700499344772
cat__codigo_principal_de_categoria_V1.82111801,-0.3234723671240005
cat__ciudad_de_la_unidad_de_Fonseca,-0.32284671947442406
cat__entidad_ALCALDIA MUNICIPAL DE FONSECA,-0.32284671947442406
cat__codigo_entidad_711149658,-0.32284671947442406
cat__ciudad_entidad_Fonseca,-0.32284671947442406
cat__nit_entidad_892170008,-0.32284671947442406
cat__ciudad_entidad_Medellín,-0.32273910006661866
cat__codigo_principal_de_categoria_V1.12141900,-0.32218371255922523
cat__codigo_entidad_703352179,-0.32171223742544297
cat__entidad_ARTESANIAS DE COLOMBIA S.A,-0.32171223742544297
cat__nit_entidad_860007887,-0.32171223742544297
"cat__categorias_adicionales_V112141903, V112141904",-0.3216393159785408
cat__codigo_principal_de_categoria_V1.78101800,-0.319005841576791
cat__ciudad_entidad_Nilo,0.31851661412023463
cat__nombre_de_la_unidad_de_CONTRATACION BIENES Y SERVICIOS,-0.3184759794384768
cat__departamento_entidad_Cauca,-0.3181057451516017
cat__ciudad_entidad_Manizales,-0.3170982898587803
cat__nit_entidad_900805219,0.3133932514157768
cat__codigo_principal_de_categoria_V1.81112101,-0.3122226463030719
cat__nombre_de_la_unidad_de_GESTIÓN CONTRACTUAL,-0.31079277125924004
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN BOGOTÁ,-0.3102241673352131
"cat__categorias_adicionales_V125101600, V178102100, V183101500",-0.30997462417746535
cat__nit_entidad_818001629,-0.3097627794868393
cat__codigo_entidad_704136498,-0.3097627794868393
cat__entidad_EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,-0.3097627794868393
cat__entidad_SECRETARIA DISTRITAL DE DESARROLLO ECONOMICO - ALCALDIA BOGOTÁ,-0.30877077486225185
cat__codigo_entidad_702158197,-0.30877077486225185
cat__codigo_principal_de_categoria_V1.72154100,0.30868011102295284
cat__codigo_principal_de_categoria_V1.83101503,-0.3086242641184162
cat__ciudad_entidad_Tuluá,-0.3083390928687146
cat__codigo_principal_de_categoria_V1.46182314,-0.3073639116229164
"cat__categorias_adicionales_V146181516, V146181537, V146181540, V146181601, V146181604, V146181703, V146181704, V146181901, V146182002, V146182005, V146182306",-0.30728626627515815
cat__nombre_de_la_unidad_de_EQUIPO GESTIÓN CONTRACTUAL,-0.30707247120258074
cat__nombre_de_la_unidad_de_SUMINISTROS Y SERVICIOS,-0.3070585830014448
cat__entidad_DEPARTAMENTO DE CUNDINAMARCA-SECRETARIA DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,-0.30696002849584425
cat__codigo_entidad_702162363,-0.30696002849584425
cat__nombre_de_la_unidad_de_ESTUDIO DE MERCADO,-0.3069522757670099
cat__fue_duplicado_logico_False,-0.3065375907519559
"cat__categorias_adicionales_V181112100, V183121703",-0.3047507605818723
cat__ciudad_de_la_unidad_de_Montería,0.30456664052052357
cat__codigo_principal_de_categoria_V1.56122000,-0.3044067964782606
cat__categorias_adicionales_V156122002,-0.3042760279695979
"cat__categorias_adicionales_V186131500, V186131600, V193141500, V193141600",-0.3034397065447639
cat__nombre_de_la_unidad_de_UCICPA,-0.3031714863686818
cat__codigo_principal_de_categoria_V1.43223300,0.3028153726936264
cat__nit_entidad_900425129,-0.30245885080529084
cat__codigo_entidad_705351302,-0.30245885080529084
cat__entidad_INSTITUTO DE CULTURA Y PATRIMONIO DE ANTIOQUIA,-0.30245885080529084
cat__nombre_de_la_unidad_de_CONTRATACION,0.3016179674424171
cat__ciudad_de_la_unidad_de_Pereira,0.2980020114527427
cat__anomalia_apertura_antes_recepcion_True,-0.2964853669964537
"cat__categorias_adicionales_V181101700, V183101800",-0.2963378723582781
cat__codigo_principal_de_categoria_V1.43211900,-0.2958882366381537
cat__codigo_principal_de_categoria_V1.42295007,-0.2957641200358719
cat__nombre_de_la_unidad_de_OFICINA JURÍDICA,-0.29365712167491054
cat__nombre_de_la_unidad_de_SOLICITUD DE INFORMACION A PROVEEDORES,0.2935043897750921
"cat__categorias_adicionales_V172101507, V172151506, V172151802",-0.2896351391451071
cat__nit_entidad_899999001,-0.2889200732262381
cat__entidad_MINISTERIO DE EDUCACION NACIONAL (MEN),-0.2889200732262381
cat__codigo_entidad_700066053,-0.2889200732262381
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION MEN,-0.28866642772785467
cat__entidad_SENA REGIONAL CAUCA Centro agropecuario,0.28778530686777426
cat__nombre_de_la_unidad_de_Contratación bienes y/o servicios y servicios personales,0.28778530686777426
cat__codigo_entidad_704156173,0.28778530686777426
cat__codigo_principal_de_categoria_V1.81112501,0.2876548481454328
cat__categorias_adicionales_V173181104,-0.2873371176458343
cat__codigo_entidad_704161728,0.28678710034940474
cat__entidad_SENA REGIONAL DISTRITO CAPITAL Grupo Administrativo Intercentros CEET,0.28678710034940474
"cat__categorias_adicionales_V114111500, V114121812, V144111515, V144122003, V144122011",-0.28676494601420677
cat__codigo_principal_de_categoria_V1.84111600,-0.2866120619535182
